,,,,,,,,#success,#errors,Bottom,ML,,Top,AL,,Ripple var,,,Input var,,,Comments,#electrode connector,,,,,,,,LabVIEW,,
,Date,path,Tank,time,Block,Task,channels,#success,#errors,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,,,,,,,,sorter STD,filter,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,100-6k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3,300-7k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4.5,300-7k,,,
1,"May 31, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_may_31_64_sr25k,,4,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
2,"June 2, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_2_2017_64_25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,Jun2_17,,
, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,2,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,,,
3,"June 5, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,STRF_jun_05_64_sr25k,,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,1,Textures,64,240,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun_6_17,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun_6_17,,
4,"June 6, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_06_64_sr25k,,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,jun_6_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"June 7, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_07_64_sr25k,,1,Textures,64,240,151,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun7_17,,
5,"June 7, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_07_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,3.5,300-7k,jun7_17,,
5,"June 7, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_07_64_sr25k,,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig,,,,,,,,,4,300-7k,jun7_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"June 8, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_08_64_sr25k,,1,Textures,64,261,244,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,LV crashed,,,,,,,3.5,300-7k,Jun8_17,,
6,"June 8, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_08_64_sr25k,,2,STRF,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,,,,,,,,3.5,300-7k,Jun8_17,,
6,"June 8, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_08_64_sr25k,,3,VOC,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,,,,,,,,4,300-7k,Jun8_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"June 9, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_09_64_sr25k,,1,Textures,64,261,244,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,Electrode advanced 1/20th turn,,,,,,,3.5,300-7k,jun_9_17,,
7,"June 9, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_09_64_sr25k,,2,STRF,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,1 turn=0.435mm,,,,,,,3.5,300-7k,jun_9_17,,
7,"June 9, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_09_64_sr25k,,3,VOC,64,,,RZ2-1,,RZ2-1,RZ2-2,,RZ2-2,xdi2,,xdi2,xdig,,xdig,0.02175,,,,,,,4,300-7k,jun_9_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,1,Textures,64,278,427,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, ,Noisy,,,,,,,3.5,300-7k,jun13_17,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,2,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, ,"STRF changed to 10min session,, double # of triggers",,,,,,,3.5,300-7k,jun13_17,,
8,"June 13, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_13_64_sr25k,,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xdi2,xdi2,,xdig,xdig, , ,,,,,,,4,300-7k,jun13_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,1,Textures,64,153,118,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,Zbus error,,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,2,Textures,64, , ,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,"Noise reduced when grabbiing josystick, monkey gets grounded",,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,3,STRF,64,,,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,Chair grounded at 2nd block,,,,,,,3.5,300-7k,jun14_17,,
9,"June 14, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_14_64_sr25k,,4,VOC,64,,,RZ2-2,,RZ2-2,RZ2-1,,RZ2-1,xdi2,,xdi2,xdig,,xdig,"TDT crashed sound comp,pause at 50:28, second block starts t 154/119",,,,,,,4,300-7k,jun14_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,9:50,1,Textures,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,12:00,2,STRF,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
10,"June 15, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_15_64_sr25k,12:15,3,VOC,64,,,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,jun15_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,1,Textures,64,232,170,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,"Paused at 400, Beh stopped at 652",,,,,,,3.5,300-7k,Jun17_17,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,2,STRF,64, , ,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,Missed one at beginning of block 3,,,,,,,3.5,300-7k,Jun17_17,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,3,Textures,64,,400,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,Jun17_17,,
11,"June 17, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_17_64_sr25k, ,4,VOC,64,,,RZ2-2,RZ2-2,,RZ2-1,RZ2-1,,strm,strm, ,xdig,xdig,,,,,,,,,3.5,300-7k,Jun17_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,1,Textures,64, , ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,tank errors,,,,,,,3.5,300-7k,jun19_17,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,2,Textures,64, , ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,change to kool aid,,,,,,,3.5,300-7k,jun19_17,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,3,test,64,, ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,,,,,,,3.5,300-7k,jun19_17,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,4,BAD,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,,,,,,,3.5,300-7k,jun19_17,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,5,STRF,64,, ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,,,,,,,3.5,300-7k,jun19_17,,
12,"June 19, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_19_64_sr25k, ,6,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,,,,,,,3.5,300-7k,jun19_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"June 20, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_20_64_sr25k, ,1,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,Testing ground,32,64,,32,64,,3.5,300-7k,,,
13,"June 20, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_20_64_sr25k, ,2,STRF,64,, ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,better without booth ground,32,64,,32,64,,3.5,300-7k,,,
13,"June 20, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_20_64_sr25k, ,3,VOC,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,32,64,,32,64,,3.5,300-7k,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"June 21, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_21_64_sr25k, ,1,Textures,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,Stopped Sam was moving  lot,32,64,,32,64,,3.5,300-7k,jun21_17,,
14,"June 21, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_21_64_sr25k, ,2,STRF,64,, ,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,, ,32,64,,32,64,,3.5,300-7k,jun21_17,,
14,"June 21, 2017",c:\users\scylla\Desktop\RZ2_64ch\DataTanks,Jun_21_64_sr25k, ,3,STRF,64,,,RZ2-1,RZ2-1,,RZ2-2,RZ2-2,,xpz5,xpz5, ,xpz2,xpz2,,,32,64,,32,64,,3.5,300-7k,jun21_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"June 22, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun22_17_192ch_sr25k, ,1,Textures,96,25,308,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Stopped Sam was moving  lot,32,64,32,64,96,128,3.5,300-7k,jun22_17,,
15,"June 22, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun22_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"xpz2(1-32) are connected to ML, AL goes from 33 to 192",32,64,32,64,96,128,3.5,300-7k,jun22_17,,
15,"June 22, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun22_17_192ch_sr25k, ,3,STRF5m,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jun22_17,,
15,"June 22, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun22_17_192ch_sr25k, ,4,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jun22_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"June 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun27_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Stopped Sam was moving  lot,32,64,32,64,96,128,3.5,300-7k,Jun27_17,,
16,"June 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun27_17_192ch_sr25k, ,2,Textures,96,,564,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"xpz2(1-32) are connected to ML, AL goes from 33 to 192",32,64,32,64,96,128,3.5,300-7k,Jun27_17,,
16,"June 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun27_17_192ch_sr25k, ,3,STRF,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun27_17,,
16,"June 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun27_17_192ch_sr25k, ,4,STRF5m,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun27_17,,
16,"June 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun27_17_192ch_sr25k, ,5,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun27_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"June 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun29_17_192ch_sr25k, ,1,Textures,96, ,301,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Using grape, he listened to about 600 sounds, before starting to respond",32,64,32,64,96,128,3.5,300-7k,Jun29_17,,
17,"June 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun29_17_192ch_sr25k, ,2,Textures,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jun29_17,,
17,"June 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun29_17_192ch_sr25k, ,3,STRF,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun29_17,,
17,"June 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun29_17_192ch_sr25k, ,4,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun29_17,,
17,"June 29, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jun29_17_192ch_sr25k, ,5,STRF5m,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jun29_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"July 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul2_17_192ch_sr25k, ,1,Textures,96, ,801,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Using grape, he listened to about 600 sounds, before starting to respond",32,64,32,64,96,128,3.5,300-7k,jul2_17,,
18,"July 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul2_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul2_17,,
18,"July 2, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul2_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jul2_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"July 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Ju32_17_192ch_sr25k, ,1,Textures,96,282,526,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"Using grape, he listened to about 600 sounds, before starting to respond",32,64,32,64,96,128,3.5,300-7k,Jul3_17,,
19,"July 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Ju32_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul3_17,,
19,"July 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Ju32_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jul3_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"July 5, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul5_17_192ch_sr25k, ,1,Textures,96,243,276,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul5_17,,
20,"July 5, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul5_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul5_17,,
20,"July 5, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul5_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jul5_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"July 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul7_17_192ch_sr25k, ,1,Textures,96,310,425,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul7_17,,
21,"July 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul7_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,Jul7_17,,
21,"July 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul7_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,Jul7_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"July 8, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul8_17_192ch_sr25k, ,1,Textures,96,310,425,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Advancing electrode after recording 1/4 turn ~1nm,32,64,32,64,96,128,3.5,300-7k,jul8_17,,
22,"July 8, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul8_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul8_17,,
22,"July 8, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul8_17_192ch_sr25k, ,3,VOC,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k,jul8_17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"July 9, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul9_17_192ch_sr25k, ,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul9_17,,
23,"July 9, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,Jul9_17_192ch_sr25k, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,jul9_17,,
